метрика,бейзлайн,prefix dropout,разница,разница (%)
recall@10,0.011624,0.014359,0.002735,23.53
recall@50,0.024141,0.037921,0.01378,57.08
recall@100,0.024141,0.037921,0.01378,57.08
ndcg@10,0.006723,0.007174,0.000451,6.7
ndcg@50,0.00945,0.012232,0.002783,29.45
ndcg@100,0.00945,0.012232,0.002783,29.45
coverage@10,0.017011,0.012535,-0.004477,-26.32
coverage@50,0.058682,0.037735,-0.020947,-35.7
tail_recall@10,0.000197,0.0,-0.000197,-100.0
tail_recall@50,0.000789,0.000197,-0.000592,-75.0
tail_ndcg@10,7.6e-05,0.0,-7.6e-05,-100.0
tail_ndcg@50,0.000206,3.8e-05,-0.000168,-81.74
head_recall@10,0.01578,0.019581,0.003801,24.09
head_recall@50,0.032635,0.051643,0.019007,58.24
head_ndcg@10,0.009141,0.009783,0.000642,7.03
head_ndcg@50,0.012812,0.016668,0.003856,30.1
long_tail_share,0.067864,0.009755,-0.058109,-85.63
